"","Latitude","Longitude","HOUR","Assault and Kidnapping","Auto Theft","DUI","Fraud","Murder","Offenses Related to Children","Other","Sexual Assault","Theft","Traffic","Weapons"
"1",40.5,-74.25,"00",1,0,0,0,0,0,3,0,1,0,0
"2",40.5,-74.25,"01",0,0,0,0,0,0,4,0,0,0,0
"3",40.5,-74.25,"02",0,0,1,0,0,0,0,0,0,0,0
"4",40.5,-74.25,"03",1,0,0,0,0,0,0,0,1,0,0
"5",40.5,-74.25,"04",0,0,0,0,0,0,1,0,1,0,0
"6",40.5,-74.25,"05",0,0,0,0,0,0,1,0,0,0,0
"7",40.5,-74.25,"06",1,0,0,0,0,0,0,0,1,0,0
"8",40.5,-74.25,"07",0,0,0,0,0,0,3,0,0,0,0
"9",40.5,-74.25,"08",0,0,0,1,0,0,1,0,0,0,0
"10",40.5,-74.25,"09",1,0,0,0,0,0,0,0,0,0,0
"11",40.5,-74.25,"10",0,0,0,0,0,0,3,0,1,0,0
"12",40.5,-74.25,"11",0,0,0,0,0,0,0,0,1,0,0
"13",40.5,-74.25,"12",1,0,0,0,0,0,5,0,2,0,0
"14",40.5,-74.25,"13",0,0,0,0,0,0,4,0,1,0,0
"15",40.5,-74.25,"14",0,0,0,0,0,0,1,0,0,0,0
"16",40.5,-74.25,"15",0,0,0,0,0,0,2,0,3,0,0
"17",40.5,-74.25,"16",0,0,0,0,0,0,2,0,0,0,0
"18",40.5,-74.25,"17",3,0,0,0,0,0,1,0,0,0,1
"19",40.5,-74.25,"18",0,0,0,0,0,0,3,0,1,0,0
"20",40.5,-74.25,"19",1,0,1,0,0,0,1,0,2,0,0
"21",40.5,-74.25,"20",0,0,1,0,0,0,2,0,0,0,0
"22",40.5,-74.25,"21",2,0,0,0,0,0,2,0,2,0,0
"23",40.5,-74.25,"22",0,0,0,0,0,0,1,0,2,0,0
"24",40.5,-74.25,"23",0,0,1,0,0,0,1,0,3,0,0
"25",40.5,-74.24,"00",0,0,0,0,0,0,3,0,0,0,0
"26",40.5,-74.24,"01",0,1,0,0,0,0,3,0,3,0,0
"27",40.5,-74.24,"02",0,0,0,0,0,0,2,0,1,0,0
"28",40.5,-74.24,"03",0,0,0,0,0,0,4,0,3,0,0
"29",40.5,-74.24,"04",0,0,0,0,0,0,1,0,1,0,0
"30",40.5,-74.24,"05",0,0,0,0,0,0,1,0,3,0,0
"31",40.5,-74.24,"06",0,0,0,0,0,0,2,0,1,0,0
"32",40.5,-74.24,"07",0,0,0,0,0,0,3,0,2,0,0
"33",40.5,-74.24,"08",0,0,0,0,0,0,2,0,0,0,0
"34",40.5,-74.24,"09",0,0,0,4,0,0,3,0,6,0,0
"35",40.5,-74.24,"10",1,0,0,1,0,0,3,0,1,0,0
"36",40.5,-74.24,"11",1,0,0,0,0,0,2,0,3,0,0
"37",40.5,-74.24,"12",1,1,0,1,0,0,7,0,9,0,0
"38",40.5,-74.24,"13",0,1,0,2,0,0,3,0,1,0,0
"39",40.5,-74.24,"14",0,0,0,0,0,0,7,0,0,0,0
"40",40.5,-74.24,"15",1,1,0,1,0,0,8,0,1,0,1
"41",40.5,-74.24,"16",0,0,0,0,0,0,8,0,2,0,0
"42",40.5,-74.24,"17",1,0,1,0,0,0,6,0,1,0,1
"43",40.5,-74.24,"18",1,1,0,0,0,0,5,0,3,0,0
